login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,score
A,1410106,MDQ6VXNlcjE0MTAxMDY=,https://avatars2.githubusercontent.com/u/1410106?v=4,,https://api.github.com/users/A,https://github.com/A,https://api.github.com/users/A/followers,https://api.github.com/users/A/following{/other_user},https://api.github.com/users/A/gists{/gist_id},https://api.github.com/users/A/starred{/owner}{/repo},https://api.github.com/users/A/subscriptions,https://api.github.com/users/A/orgs,https://api.github.com/users/A/repos,https://api.github.com/users/A/events{/privacy},https://api.github.com/users/A/received_events,User,False,162.5324
snyff,45491,MDQ6VXNlcjQ1NDkx,https://avatars1.githubusercontent.com/u/45491?v=4,,https://api.github.com/users/snyff,https://github.com/snyff,https://api.github.com/users/snyff/followers,https://api.github.com/users/snyff/following{/other_user},https://api.github.com/users/snyff/gists{/gist_id},https://api.github.com/users/snyff/starred{/owner}{/repo},https://api.github.com/users/snyff/subscriptions,https://api.github.com/users/snyff/orgs,https://api.github.com/users/snyff/repos,https://api.github.com/users/snyff/events{/privacy},https://api.github.com/users/snyff/received_events,User,False,66.46306
adamwiggins,177,MDQ6VXNlcjE3Nw==,https://avatars0.githubusercontent.com/u/177?v=4,,https://api.github.com/users/adamwiggins,https://github.com/adamwiggins,https://api.github.com/users/adamwiggins/followers,https://api.github.com/users/adamwiggins/following{/other_user},https://api.github.com/users/adamwiggins/gists{/gist_id},https://api.github.com/users/adamwiggins/starred{/owner}{/repo},https://api.github.com/users/adamwiggins/subscriptions,https://api.github.com/users/adamwiggins/orgs,https://api.github.com/users/adamwiggins/repos,https://api.github.com/users/adamwiggins/events{/privacy},https://api.github.com/users/adamwiggins/received_events,User,False,57.79937
Amichai,313874,MDQ6VXNlcjMxMzg3NA==,https://avatars3.githubusercontent.com/u/313874?v=4,,https://api.github.com/users/Amichai,https://github.com/Amichai,https://api.github.com/users/Amichai/followers,https://api.github.com/users/Amichai/following{/other_user},https://api.github.com/users/Amichai/gists{/gist_id},https://api.github.com/users/Amichai/starred{/owner}{/repo},https://api.github.com/users/Amichai/subscriptions,https://api.github.com/users/Amichai/orgs,https://api.github.com/users/Amichai/repos,https://api.github.com/users/Amichai/events{/privacy},https://api.github.com/users/Amichai/received_events,User,False,56.932064
adulau,3309,MDQ6VXNlcjMzMDk=,https://avatars2.githubusercontent.com/u/3309?v=4,,https://api.github.com/users/adulau,https://github.com/adulau,https://api.github.com/users/adulau/followers,https://api.github.com/users/adulau/following{/other_user},https://api.github.com/users/adulau/gists{/gist_id},https://api.github.com/users/adulau/starred{/owner}{/repo},https://api.github.com/users/adulau/subscriptions,https://api.github.com/users/adulau/orgs,https://api.github.com/users/adulau/repos,https://api.github.com/users/adulau/events{/privacy},https://api.github.com/users/adulau/received_events,User,False,56.678177
ngs,18631,MDQ6VXNlcjE4NjMx,https://avatars0.githubusercontent.com/u/18631?v=4,,https://api.github.com/users/ngs,https://github.com/ngs,https://api.github.com/users/ngs/followers,https://api.github.com/users/ngs/following{/other_user},https://api.github.com/users/ngs/gists{/gist_id},https://api.github.com/users/ngs/starred{/owner}{/repo},https://api.github.com/users/ngs/subscriptions,https://api.github.com/users/ngs/orgs,https://api.github.com/users/ngs/repos,https://api.github.com/users/ngs/events{/privacy},https://api.github.com/users/ngs/received_events,User,False,54.62751
xxczaki,22645979,MDQ6VXNlcjIyNjQ1OTc5,https://avatars3.githubusercontent.com/u/22645979?v=4,,https://api.github.com/users/xxczaki,https://github.com/xxczaki,https://api.github.com/users/xxczaki/followers,https://api.github.com/users/xxczaki/following{/other_user},https://api.github.com/users/xxczaki/gists{/gist_id},https://api.github.com/users/xxczaki/starred{/owner}{/repo},https://api.github.com/users/xxczaki/subscriptions,https://api.github.com/users/xxczaki/orgs,https://api.github.com/users/xxczaki/repos,https://api.github.com/users/xxczaki/events{/privacy},https://api.github.com/users/xxczaki/received_events,User,False,51.440952
tuzimoe,17731805,MDQ6VXNlcjE3NzMxODA1,https://avatars1.githubusercontent.com/u/17731805?v=4,,https://api.github.com/users/tuzimoe,https://github.com/tuzimoe,https://api.github.com/users/tuzimoe/followers,https://api.github.com/users/tuzimoe/following{/other_user},https://api.github.com/users/tuzimoe/gists{/gist_id},https://api.github.com/users/tuzimoe/starred{/owner}{/repo},https://api.github.com/users/tuzimoe/subscriptions,https://api.github.com/users/tuzimoe/orgs,https://api.github.com/users/tuzimoe/repos,https://api.github.com/users/tuzimoe/events{/privacy},https://api.github.com/users/tuzimoe/received_events,User,False,51.331734
aarizaq,62071,MDQ6VXNlcjYyMDcx,https://avatars1.githubusercontent.com/u/62071?v=4,,https://api.github.com/users/aarizaq,https://github.com/aarizaq,https://api.github.com/users/aarizaq/followers,https://api.github.com/users/aarizaq/following{/other_user},https://api.github.com/users/aarizaq/gists{/gist_id},https://api.github.com/users/aarizaq/starred{/owner}{/repo},https://api.github.com/users/aarizaq/subscriptions,https://api.github.com/users/aarizaq/orgs,https://api.github.com/users/aarizaq/repos,https://api.github.com/users/aarizaq/events{/privacy},https://api.github.com/users/aarizaq/received_events,User,False,51.319756
joshhartigan,5961708,MDQ6VXNlcjU5NjE3MDg=,https://avatars0.githubusercontent.com/u/5961708?v=4,,https://api.github.com/users/joshhartigan,https://github.com/joshhartigan,https://api.github.com/users/joshhartigan/followers,https://api.github.com/users/joshhartigan/following{/other_user},https://api.github.com/users/joshhartigan/gists{/gist_id},https://api.github.com/users/joshhartigan/starred{/owner}{/repo},https://api.github.com/users/joshhartigan/subscriptions,https://api.github.com/users/joshhartigan/orgs,https://api.github.com/users/joshhartigan/repos,https://api.github.com/users/joshhartigan/events{/privacy},https://api.github.com/users/joshhartigan/received_events,User,False,51.105972
prodigeni,1476070,MDQ6VXNlcjE0NzYwNzA=,https://avatars3.githubusercontent.com/u/1476070?v=4,,https://api.github.com/users/prodigeni,https://github.com/prodigeni,https://api.github.com/users/prodigeni/followers,https://api.github.com/users/prodigeni/following{/other_user},https://api.github.com/users/prodigeni/gists{/gist_id},https://api.github.com/users/prodigeni/starred{/owner}{/repo},https://api.github.com/users/prodigeni/subscriptions,https://api.github.com/users/prodigeni/orgs,https://api.github.com/users/prodigeni/repos,https://api.github.com/users/prodigeni/events{/privacy},https://api.github.com/users/prodigeni/received_events,User,False,50.477745
AHXR,27564220,MDQ6VXNlcjI3NTY0MjIw,https://avatars2.githubusercontent.com/u/27564220?v=4,,https://api.github.com/users/AHXR,https://github.com/AHXR,https://api.github.com/users/AHXR/followers,https://api.github.com/users/AHXR/following{/other_user},https://api.github.com/users/AHXR/gists{/gist_id},https://api.github.com/users/AHXR/starred{/owner}{/repo},https://api.github.com/users/AHXR/subscriptions,https://api.github.com/users/AHXR/orgs,https://api.github.com/users/AHXR/repos,https://api.github.com/users/AHXR/events{/privacy},https://api.github.com/users/AHXR/received_events,User,False,50.227623
